#  L TT            EE            BB            TE            PP            PT            PE           
  47 8.1736660e+02 5.2034823e-01 1.9374071e-04 2.8762653e+00 1.2743681e-07 1.1058299e-03 -2.0091962e-05
  48 8.2160443e+02 5.2260804e-01 2.0413531e-04 2.8541559e+00 1.2681829e-07 1.0881911e-03 -2.0594996e-05
  49 8.2593157e+02 5.1776714e-01 2.1471097e-04 2.7729935e+00 1.2618432e-07 1.0707726e-03 -2.0852288e-05
  50 8.3041862e+02 5.0587106e-01 2.2545159e-04 2.6386337e+00 1.2553650e-07 1.0536249e-03 -2.0863297e-05
  51 8.3513268e+02 4.8723047e-01 2.3634087e-04 2.4574234e+00 1.2487633e-07 1.0367875e-03 -2.0630672e-05
  52 8.4000047e+02 4.6321204e-01 2.4736245e-04 2.2374733e+00 1.2420475e-07 1.0202544e-03 -2.0169896e-05
  53 8.4492294e+02 4.3544308e-01 2.5850001e-04 1.9871247e+00 1.2352276e-07 1.0040095e-03 -1.9499629e-05
  54 8.4985300e+02 4.0555165e-01 2.6973742e-04 1.7138599e+00 1.2283125e-07 9.8803608e-04 -1.8638453e-05
  55 8.5475846e+02 3.7516733e-01 2.8105885e-04 1.4247918e+00 1.2213114e-07 9.7231805e-04 -1.7604898e-05
  56 8.5972684e+02 3.4575385e-01 2.9244889e-04 1.1261815e+00 1.2142337e-07 9.5684147e-04 -1.6422302e-05
  57 8.6484926e+02 3.1813854e-01 3.0389268e-04 8.2345018e-01 1.2070846e-07 9.4159905e-04 -1.5133337e-05
  58 8.7007657e+02 2.9299182e-01 3.1537605e-04 5.2248774e-01 1.1998689e-07 9.2658576e-04 -1.3785445e-05
  59 8.7531507e+02 2.7098488e-01 3.2688557e-04 2.2947179e-01 1.1925920e-07 9.1179688e-04 -1.2425985e-05
  60 8.8053790e+02 2.5278145e-01 3.3840871e-04 -4.9004108e-02 1.1852586e-07 8.9722730e-04 -1.1102226e-05
  61 8.8574539e+02 2.3886939e-01 3.4993390e-04 -3.0713278e-01 1.1778747e-07 8.8287921e-04 -9.8559297e-06
  62 8.9093517e+02 2.2903292e-01 3.6145066e-04 -5.4260916e-01 1.1704489e-07 8.6878117e-04 -8.7070153e-06
  63 8.9611720e+02 2.2288112e-01 3.7294964e-04 -7.5401855e-01 1.1629904e-07 8.5496875e-04 -7.6699445e-06
  64 9.0128660e+02 2.2002231e-01 3.8442273e-04 -9.3993880e-01 1.1555077e-07 8.4147710e-04 -6.7591634e-06
  65 9.0646075e+02 2.2006705e-01 3.9586309e-04 -1.0990072e+00 1.1480106e-07 8.2834206e-04 -5.9891135e-06
  66 9.1167270e+02 2.2263922e-01 4.0726524e-04 -1.2305961e+00 1.1405072e-07 8.1559491e-04 -5.3711879e-06
  67 9.1691423e+02 2.2744271e-01 4.1862508e-04 -1.3361785e+00 1.1330023e-07 8.0325274e-04 -4.9046556e-06
  68 9.2216304e+02 2.3419843e-01 4.2993991e-04 -1.4177471e+00 1.1254993e-07 7.9132812e-04 -4.5857611e-06
  69 9.2738942e+02 2.4262955e-01 4.4120849e-04 -1.4773242e+00 1.1180022e-07 7.7983394e-04 -4.4107651e-06
